Month,Index (1982-84=1),Nominal,Motor Gasoline Price($/gallon),Base CPI (5/2023)
October 2007,2.092,2.80,4.07,
November 2007,2.108,3.08,4.43,
December 2007,2.114,3.02,4.33,
January 2008,2.122,3.04,4.35,
February 2008,2.127,3.03,4.32,
March 2008,2.134,3.24,4.61,
April 2008,2.139,3.46,4.91,
May 2008,2.152,3.77,5.31,
June 2008,2.175,4.05,5.66,
July 2008,2.190,4.06,5.63,
August 2008,2.187,3.78,5.24,
September 2008,2.189,3.70,5.13,
October 2008,2.170,3.05,4.27,
November 2008,2.132,2.15,3.06,
December 2008,2.114,1.69,2.42,
January 2009,2.119,1.79,2.56,
February 2009,2.127,1.92,2.74,
March 2009,2.125,1.96,2.80,
April 2009,2.127,2.05,2.92,
May 2009,2.130,2.27,3.23,
June 2009,2.148,2.63,3.72,
July 2009,2.147,2.53,3.57,
August 2009,2.154,2.62,3.69,
September 2009,2.159,2.55,3.59,
October 2009,2.165,2.55,3.58,
November 2009,2.172,2.65,3.70,
December 2009,2.173,2.61,3.64,
January 2010,2.175,2.72,3.79,
February 2010,2.173,2.64,3.69,
March 2010,2.174,2.77,3.87,
April 2010,2.174,2.85,3.98,
May 2010,2.173,2.84,3.96,
June 2010,2.172,2.73,3.82,
July 2010,2.176,2.73,3.81,
August 2010,2.179,2.73,3.80,
September 2010,2.183,2.71,3.76,
October 2010,2.190,2.80,3.88,
November 2010,2.196,2.86,3.95,
December 2010,2.205,2.99,4.12,
January 2011,2.212,3.09,4.25,
February 2011,2.219,3.21,4.39,
March 2011,2.230,3.56,4.85,
April 2011,2.241,3.80,5.15,
May 2011,2.248,3.91,5.27,
June 2011,2.248,3.68,4.97,
July 2011,2.254,3.65,4.92,
August 2011,2.261,3.64,4.89,
September 2011,2.266,3.61,4.84,
October 2011,2.268,3.45,4.61,
November 2011,2.272,3.38,4.52,
December 2011,2.272,3.27,4.36,
January 2012,2.278,3.38,4.50,
February 2012,2.283,3.58,4.76,
March 2012,2.288,3.85,5.11,
April 2012,2.292,3.90,5.16,
May 2012,2.287,3.73,4.95,
June 2012,2.285,3.54,4.70,
July 2012,2.286,3.44,4.57,
August 2012,2.299,3.72,4.91,
September 2012,2.310,3.85,5.06,
October 2012,2.316,3.75,4.91,
November 2012,2.312,3.45,4.53,
December 2012,2.312,3.31,4.35,
January 2013,2.317,3.32,4.35,
February 2013,2.329,3.67,4.78,
March 2013,2.323,3.71,4.85,
April 2013,2.318,3.57,4.67,
May 2013,2.319,3.61,4.73,
June 2013,2.324,3.63,4.73,
July 2013,2.329,3.59,4.68,
August 2013,2.335,3.57,4.65,
September 2013,2.335,3.53,4.59,
October 2013,2.337,3.34,4.34,
November 2013,2.341,3.24,4.20,
December 2013,2.347,3.28,4.24,
January 2014,2.353,3.31,4.27,
February 2014,2.355,3.36,4.32,
March 2014,2.360,3.53,4.54,
April 2014,2.365,3.66,4.70,
May 2014,2.369,3.67,4.70,
June 2014,2.372,3.69,4.72,
July 2014,2.375,3.61,4.61,
August 2014,2.375,3.49,4.46,
September 2014,2.375,3.41,4.35,
October 2014,2.374,3.17,4.05,
November 2014,2.370,2.91,3.73,
December 2014,2.363,2.54,3.27,
January 2015,2.347,2.12,2.74,
February 2015,2.353,2.22,2.86,
March 2015,2.360,2.46,3.17,
April 2015,2.362,2.47,3.17,
May 2015,2.370,2.72,3.48,
June 2015,2.377,2.80,3.58,
July 2015,2.380,2.79,3.56,
August 2015,2.380,2.64,3.36,
September 2015,2.375,2.37,3.02,
October 2015,2.377,2.29,2.92,
November 2015,2.380,2.16,2.75,
December 2015,2.378,2.04,2.60,
January 2016,2.377,1.95,2.49,
February 2016,2.373,1.76,2.26,
March 2016,2.381,1.97,2.51,
April 2016,2.390,2.11,2.68,
May 2016,2.396,2.27,2.87,
June 2016,2.402,2.37,2.99,
July 2016,2.401,2.24,2.83,
August 2016,2.405,2.18,2.75,
September 2016,2.412,2.22,2.79,
October 2016,2.417,2.25,2.82,
November 2016,2.420,2.18,2.74,
December 2016,2.426,2.25,2.82,
January 2017,2.436,2.35,2.93,
February 2017,2.440,2.30,2.87,
March 2017,2.439,2.33,2.89,
April 2017,2.442,2.42,3.00,
May 2017,2.440,2.39,2.97,
June 2017,2.442,2.35,2.92,
July 2017,2.442,2.30,2.86,
August 2017,2.452,2.38,2.95,
September 2017,2.464,2.65,3.26,
October 2017,2.466,2.51,3.08,
November 2017,2.473,2.56,3.15,
December 2017,2.478,2.48,3.03,
January 2018,2.489,2.55,3.12,
February 2018,2.495,2.59,3.15,
March 2018,2.496,2.59,3.15,
April 2018,2.502,2.76,3.34,
May 2018,2.508,2.90,3.51,
June 2018,2.510,2.89,3.50,
July 2018,2.512,2.85,3.44,
August 2018,2.517,2.84,3.42,
September 2018,2.522,2.84,3.41,
October 2018,2.528,2.86,3.43,
November 2018,2.526,2.65,3.18,
December 2018,2.528,2.37,2.84,
January 2019,2.527,2.25,2.70,
February 2019,2.533,2.31,2.77,
March 2019,2.542,2.52,3.00,
April 2019,2.552,2.80,3.33,
May 2019,2.553,2.86,3.40,
June 2019,2.552,2.72,3.23,
July 2019,2.557,2.74,3.25,
August 2019,2.561,2.62,3.11,
September 2019,2.565,2.59,3.07,
October 2019,2.572,2.63,3.10,
November 2019,2.578,2.60,3.06,
December 2019,2.586,2.56,3.00,
January 2020,2.590,2.55,2.99,
